run_id,model,regime,family_set,family,seed,n_family,n_normal,n_test,positive_rate,precision,recall,f1,roc_auc,accuracy,balanced_accuracy,macro_f1,notes
phase7-recovery-ceiling,scratch_mlp,target_frozen_test,native,injection,42,10094,25000,35094,0.287628,0.846814,0.987418,0.911727,0.984788,0.945005,0.957649,0.935894,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_mlp,target_frozen_test,native,mitm,42,518,25000,25518,0.020299,0.158656,0.656371,0.255543,0.906435,0.922369,0.792125,0.607296,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_mlp,target_frozen_test,native,password,42,10159,25000,35159,0.288945,0.848678,0.995374,0.916191,0.990143,0.947382,0.961627,0.938922,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_mlp,target_frozen_test,native,ransomware,42,9963,25000,34963,0.284958,0.843136,0.972699,0.903295,0.975698,0.940652,0.950289,0.930242,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_mlp,target_frozen_test,native,scanning,42,10034,25000,35034,0.286407,0.845076,0.980167,0.907623,0.986521,0.942856,0.954024,0.933128,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,scratch_mlp,target_frozen_test,native,xss,42,10007,25000,35007,0.285857,0.843122,0.968322,0.901395,0.982553,0.939441,0.948101,0.928848,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,svm,target_frozen_test,native,backdoor,42,9911,25000,34911,0.283893,0.947132,0.999596,0.972657,0.999528,0.984045,0.988738,0.980697,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,svm,target_frozen_test,native,ddos,42,9942,25000,34942,0.284529,0.936451,0.819654,0.874169,0.980738,0.93286,0.898767,0.914192,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,svm,target_frozen_test,native,dos,42,9893,25000,34893,0.283524,0.941145,0.893864,0.916896,0.972815,0.95406,0.935872,0.942576,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
phase7-recovery-ceiling,svm,target_frozen_test,native,injection,42,10094,25000,35094,0.287628,0.946586,0.970874,0.958576,0.988844,0.975865,0.974377,0.970774,"one-vs-normal against the frozen half's normal rows; budget 100.00% of the pool, n_ft=105522; TON_IoT's own attack types (schema_map.FAMILY_NATIVE_COL)"
